Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude
"The Gate Tower 2, The Gate Tower, Shams Gate District, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",124000,3,4,Apartment,1785,69.46778711484593,Medium,Yearly,Unfurnished,For Rent,3/7/2024,45,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Water's Edge, Yas Island, Abu Dhabi",140000,3,4,Apartment,1422,98.45288326300984,Medium,Yearly,Unfurnished,For Rent,3/8/2024,44,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Al Raha Lofts, Al Raha Beach, Abu Dhabi",99000,2,3,Apartment,1314,75.34246575342466,Medium,Yearly,Furnished,For Rent,3/21/2024,31,Al Raha Beach,Abu Dhabi,24.48593095,54.60093932996362
"Marina Heights, Marina Square, Al Reem Island, Abu Dhabi",220000,3,4,Penthouse,3843,57.24694249284413,High,Yearly,Unfurnished,For Rent,2/24/2024,57,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"West Yas, Yas Island, Abu Dhabi",350000,5,7,Villa,6860,51.02040816326531,High,Yearly,Unfurnished,For Rent,2/16/2024,65,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Reflection, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",75000,1,1,Apartment,706,106.23229461756374,Medium,Yearly,Furnished,For Rent,12/12/2023,131,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Water's Edge, Yas Island, Abu Dhabi",65000,1,1,Apartment,698,93.12320916905443,Low,Yearly,Unfurnished,For Rent,3/11/2024,41,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Noya, Yas Island, Abu Dhabi",170000,3,4,Townhouse,1989,85.47008547008546,High,Yearly,Unfurnished,For Rent,2/22/2024,59,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Ansam 3, Ansam, Yas Island, Abu Dhabi",75000,1,2,Apartment,886,84.65011286681715,Medium,Yearly,Unfurnished,For Rent,4/5/2024,16,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Marina Heights I, Marina Heights, Marina Square, Al Reem Island, Abu Dhabi",160000,2,3,Apartment,1430,111.8881118881119,High,Yearly,Unfurnished,For Rent,4/5/2024,16,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Bloom Marina, Al Bateen, Abu Dhabi",110000,2,2,Apartment,1356,81.12094395280236,Medium,Yearly,Unfurnished,For Rent,1/29/2023,448,Al Bateen,Abu Dhabi,24.2048941,55.6196612
"Noya, Yas Island, Abu Dhabi",174000,3,4,Townhouse,1816,95.81497797356828,High,Yearly,Unfurnished,For Rent,3/25/2024,27,Yas Island,Abu Dhabi,24.4940223,54.6073721
"West Yas, Yas Island, Abu Dhabi",330000,5,7,Villa,5907,55.865921787709496,High,Yearly,Unfurnished,For Rent,3/22/2024,30,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Contemporary Style, Al Reef Villas, Al Reef, Abu Dhabi",149000,5,6,Villa,3750,39.73333333333333,High,Yearly,Unfurnished,For Rent,4/2/2024,19,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Fairmont Marina Residences, The Marina, Abu Dhabi",150000,1,2,Apartment,1022,146.7710371819961,High,Yearly,Furnished,For Rent,3/18/2024,34,The Marina,Abu Dhabi,24.479853,54.319951
"Building 45, Al Reef Downtown, Al Reef, Abu Dhabi",80000,2,2,Apartment,1477,54.16384563303995,Medium,Yearly,Unfurnished,For Rent,3/14/2024,38,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Marina Heights I, Marina Heights, Marina Square, Al Reem Island, Abu Dhabi",125000,3,4,Apartment,1744,71.6743119266055,Medium,Yearly,Unfurnished,For Rent,12/1/2023,142,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Contemporary Style, Al Reef Villas, Al Reef, Abu Dhabi",129995,4,5,Villa,2828,45.96711456859972,Medium,Yearly,Unfurnished,For Rent,3/11/2024,41,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Building 26, Al Reef Downtown, Al Reef, Abu Dhabi",62900,2,2,Apartment,1237,50.84882780921585,Low,Yearly,Unfurnished,For Rent,4/2/2024,19,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Noya, Yas Island, Abu Dhabi",145000,2,4,Townhouse,1821,79.62657880285558,High,Yearly,Unfurnished,For Rent,2/27/2024,54,Yas Island,Abu Dhabi,24.4940223,54.6073721
